file_path,file_name,file_suffix,scene_index,scene_name,size_z,z_step_um,z_start_um,z_end_um,z_range_method,error
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_6_Multichannel Z-Stack_20251017_46.vsi,2_8_LITHIUM_6_Multichannel Z-Stack_20251017_46.vsi,.vsi,0,"C488, C561, C640",42,,198.360773362632,204.510773362632,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_6_Multichannel Z-Stack_20251017_46.vsi,2_8_LITHIUM_6_Multichannel Z-Stack_20251017_46.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_7_Multichannel Z-Stack_20251017_47.vsi,2_8_LITHIUM_7_Multichannel Z-Stack_20251017_47.vsi,.vsi,0,"C488, C561, C640",45,,194.79779039248,201.39779039248,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_7_Multichannel Z-Stack_20251017_47.vsi,2_8_LITHIUM_7_Multichannel Z-Stack_20251017_47.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_8_Multichannel Z-Stack_20251017_48.vsi,2_8_LITHIUM_8_Multichannel Z-Stack_20251017_48.vsi,.vsi,0,"C488, C561, C640",53,,197.68739547091494,205.48739547091498,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_8_Multichannel Z-Stack_20251017_48.vsi,2_8_LITHIUM_8_Multichannel Z-Stack_20251017_48.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_9_Multichannel Z-Stack_20251017_49.vsi,2_8_LITHIUM_9_Multichannel Z-Stack_20251017_49.vsi,.vsi,0,"C488, C561, C640",51,,200.09323689190018,207.59323689190018,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_9_Multichannel Z-Stack_20251017_49.vsi,2_8_LITHIUM_9_Multichannel Z-Stack_20251017_49.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\_2.1.hrmin1_Multichannel Z-Stack_20251017_01_\stack1\frame_t_0.ets,frame_t_0.ets,.ets,0,"C488, C561, C640",23,,250.40811206738692,253.70811206738696,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\_2.1.hrmin1_Multichannel Z-Stack_20251017_01_\stack1\frame_t_0.ets,frame_t_0.ets,.ets,1,macro image,1,,,,unavailable,
